Search keyword,Search location,Serial,Name,Category,Profile URL,Address,Phone,Email,Website,Rating,Reviews,Year from Business,Phone (Website),Facebook (Web),Twitter (Web),Instagram (Web),email,username,Cap username,domain,status,is_safe_to_send,is_valid_syntax,is_disposable,is_role_account,mx_accepts_mail,mx_records,can_connect_smtp,has_inbox_full,is_catch_all,is_deliverable,is_disabled,is_spamtrap
Automobile Accident Attorneys,"Astatula,FL",1,Gimenez & Carrillo,"Automobile Accident Attorneys, Transportation Law Attorneys, Immigration Law Attorneys",https://www.yellowpages.com/orlando-fl/mip/gimenez-carrillo-531501235?lid=1001610838131,"7380 W Sand Lake Rd Ste 500, Orlando, FL 32819",(407) 990-1343,jjorge@gimenezandcarrillo.com,http://gimenezandcarrillo.com/,,,,3054443000; 5613571300; 4072282080; 8504622512; 9042176240; 8133657750; 8632251950; 850213635;,https://www.facebook.com/gimenez-and-carrillo-personal-injury-law-2477095698991884,,https://www.instagram.com/gimenezcarrillolaw,jjorge@gimenezandcarrillo.com,jjorge,Jjorge,gimenezandcarrillo.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,gimenezandcarrillo-com.mail.protection.outlook.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Automobile Accident Attorneys,"Astatula,FL",2,Searcy Denney,"Automobile Accident Attorneys, General Practice Attorneys, Attorneys",https://www.yellowpages.com/west-palm-beach-fl/mip/searcy-denney-541169080?lid=1001809827601,"2139 Palm Beach Lakes Blvd, West Palm Beach, FL 33409",(561) 328-1422,rkx@searcylaw.com,http://www.searcylaw.com,,,1976,+1-800-780-8607; +1-561-686-6300; +1-800-220-7006; +1-850-224-7600; +1-888-549-7011; +1-855-413-5906; +1-561-285-4314; +1-855-436-6169; +1-850-253-7849; +1-855-436-5900;,https://www.facebook.com/searcydenney,https://twitter.com/searcytalk,,rkx@searcylaw.com,rkx,Rkx,searcylaw.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,SearcyLaw-com.mail.protection.outlook.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Automobile Accident Attorneys,"Astatula,FL",10,LaBar Adams,"Automobile Accident Attorneys, Criminal Law Attorneys, Personal Injury Law Attorneys",https://www.yellowpages.com/orlando-fl/mip/labar-adams-452305519,"1527 E Concord St, Orlando, FL 32803",(407) 835-8968,clerk@labaradams.com,http://labaradams.com,,,2008,(866) 680-4529;,,https://twitter.com/labaradams,,clerk@labaradams.com,clerk,Clerk,labaradams.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,labaradams-com.mail.protection.outlook.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Automobile Accident Attorneys,"Astatula,FL",11,Michael Barszcz-PI/ Car Accident/Med Mal,"Automobile Accident Attorneys, Attorneys, Malpractice Law Attorneys",https://www.yellowpages.com/winter-park-fl/mip/michael-barszcz-pi-car-accident-med-mal-468003457,"2721 W Fairbanks Ave, Winter Park, FL 32789",(407) 329-3923,michael@themdjd.com,http://www.themdjd.com,,,,866-843-6353; 407-843-6353; 407-740-7699;,https://www.facebook.com/themdjd,https://twitter.com/themdjd,,michael@themdjd.com,michael,Michael,themdjd.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,themdjd-com.inbound.emailservice.io; themdjd-com.inbound.emailservice.co; themdjd-com.inbound.emailservice.cc,TRUE,FALSE,FALSE,TRUE,FALSE,
Automobile Accident Attorneys,"Astatula,FL",15,"Law Offices of James O. Cunningham, P.A.","Automobile Accident Attorneys, Personal Injury Law Attorneys, Wrongful Death Attorneys",https://www.yellowpages.com/mount-dora-fl/mip/law-offices-of-james-o-cunningham-p-a-465429729,"602 E 5th Ave, Mount Dora, FL 32757",(352) 436-4696,jim@cunninghampilaw.com,http://www.cunninghampilaw.com/blog,,,1977,14074252000;,https://www.facebook.com/cunninghamlaw,https://twitter.com/cunningham_law,,jim@cunninghampilaw.com,jim,Jim,cunninghampilaw.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,cunninghampilaw-com.mail.protection.outlook.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Automobile Accident Attorneys,"Astatula,FL",16,"Law Offices of James O. Cunningham, P.A.","Automobile Accident Attorneys, Personal Injury Law Attorneys, Wrongful Death Attorneys",https://www.yellowpages.com/clermont-fl/mip/law-offices-of-james-o-cunningham-p-a-465429731,"900 W Highway 50, Clermont, FL 34711",(352) 503-4674,jim@cunninghampilaw.com,http://www.cunninghampilaw.com/blog,,,1977,14074252000;,https://www.facebook.com/cunninghamlaw,https://twitter.com/cunningham_law,,jim@cunninghampilaw.com,jim,Jim,cunninghampilaw.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,cunninghampilaw-com.mail.protection.outlook.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Automobile Accident Attorneys,"Astatula,FL",21,"Adams & Conan, P.A.","Automobile Accident Attorneys, Attorneys, Criminal Law Attorneys",https://www.yellowpages.com/tavares-fl/mip/adams-conan-p-a-480760126,"315 N New Hampshire Ave, Tavares, FL 32778",(352) 253-0333,conanhermanlaw@gmail.com,http://www.adamsluka.com,,,2009,14078720307; 13527872101;,https://www.facebook.com/adamslukalaw,,,conanhermanlaw@gmail.com,conanhermanlaw,Conanhermanlaw,gmail.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,gmail-smtp-in.l.google.com; alt3.gmail-smtp-in.l.google.com; alt1.gmail-smtp-in.l.google.com; alt2.gmail-smtp-in.l.google.com; alt4.gmail-smtp-in.l.google.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Automobile Accident Attorneys,"Astatula,FL",22,Heil David R PA Law Offices,"Automobile Accident Attorneys, Attorneys, Criminal Law Attorneys",https://www.yellowpages.com/clermont-fl/mip/heil-david-r-pa-law-offices-13859573,"255 Citrus Tower Blvd, Clermont, FL 34711",(352) 243-6288,david@heil-law.com,http://heil-law.com,,,,,,,,david@heil-law.com,david,David,heil-law.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,mail3.us.scanscope.net; mail1.us.scanscope.net; mail2.us.scanscope.net,TRUE,FALSE,FALSE,TRUE,FALSE,
Automobile Accident Attorneys,"Astatula,FL",30,Scoma Law Firm,"Automobile Accident Attorneys, Attorneys, Personal Injury Law Attorneys",https://www.yellowpages.com/clermont-fl/mip/scoma-law-firm-474530776,"17301 Pagonia Rd Ste 200, Clermont, FL 34711",(352) 432-1346,info@scomalaw.com,http://www.scomalaw.com,,,2009,,,,,info@scomalaw.com,info,Info,scomalaw.com,role_account,TRUE,TRUE,FALSE,TRUE,TRUE,alt1.aspmx.l.google.com; alt2.aspmx.l.google.com; aspmx.l.google.com; aspmx2.googlemail.com; aspmx3.googlemail.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Automobile Accident Attorneys,"Astatula,FL",33,Troutman Richard B,"Automobile Accident Attorneys, Personal Injury Law Attorneys, General Practice Attorneys",https://www.yellowpages.com/winter-park-fl/mip/troutman-richard-b-12742053,"1101 N Kentucky Ave, Winter Park, FL 32789",(407) 647-5002,rtrou1@aol.com,http://www.richardtroutman.com,,,1969,407-647-5002;,https://www.facebook.com/richard-b-troutman-pa-1434167610154750,https://twitter.com/rtroutmanlaw,,rtrou1@aol.com,rtrou1,Rtrou1,aol.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,mx-aol.mail.gm0.yahoodns.net,TRUE,FALSE,FALSE,TRUE,FALSE,
Automobile Accident Attorneys,"Astatula,FL",35,Kramer Law Firm,"Automobile Accident Attorneys, Attorneys, Criminal Law Attorneys",https://www.yellowpages.com/altamonte-springs-fl/mip/kramer-law-firm-458438904,"999 Douglas Ave Ste 3333, Altamonte Springs, FL 32714",(407) 834-4820,rtraendly@mykramerlawfirm.com,http://www.kramerlegalgroup.com,3.5,11,2005,,,,,rtraendly@mykramerlawfirm.com,rtraendly,Rtraendly,mykramerlawfirm.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,mail.mykramerlawfirm.com; mykramerlawfirm-com.mail.protection.outlook.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Automobile Accident Attorneys,"Astatula,FL",37,Payer Law Group,"Automobile Accident Attorneys, Civil Litigation & Trial Law Attorneys, Attorneys",https://www.yellowpages.com/orlando-fl/mip/payer-law-group-504806903,"17 N Summerlin Ave, Orlando, FL 32801",(407) 841-6399,chris@payerlawgroup.com,http://www.payerlawgroup.com,5,2,1998,+18669301238; +14073072979;,https://www.facebook.com/payerlawgroup,https://twitter.com/attorneypayer,https://www.instagram.com/payerlawgroup,chris@payerlawgroup.com,chris,Chris,payerlawgroup.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,mx1-us2.ppe-hosted.com; mx2-us2.ppe-hosted.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Automobile Accident Attorneys,"Astatula,FL",38,Top Contractors Orlando - Find the Best Local Service Pro's FREE,"Automobile Accident Attorneys, Attorneys, Accident & Property Damage Attorneys",https://www.yellowpages.com/orlando-fl/mip/top-contractors-orlando-find-the-best-local-service-pros-free-541167403,", Orlando, FL 32801",(407) 745-1414,expertattorneysorlando@gmail.com,,5,2,2006,,,,,expertattorneysorlando@gmail.com,expertattorneysorlando,Expertattorneysorlando,gmail.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,gmail-smtp-in.l.google.com; alt4.gmail-smtp-in.l.google.com; alt2.gmail-smtp-in.l.google.com; alt1.gmail-smtp-in.l.google.com; alt3.gmail-smtp-in.l.google.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Automobile Accident Attorneys,"Astatula,FL",39,"Frank M. Eidson, P.A.","Automobile Accident Attorneys, Attorneys, Personal Injury Law Attorneys",https://www.yellowpages.com/orlando-fl/mip/frank-m-eidson-p-a-537959393,"327 N Orange Ave, Orlando, FL 32801",(407) 245-2887,info@frankeidson.com,https://frankeidson.com,3,4,,+14072452887; +14074103579;,https://www.facebook.com/frankeidsonpa,https://twitter.com/frankmeidson,https://www.instagram.com/frankeidson,info@frankeidson.com,info,Info,frankeidson.com,role_account,TRUE,TRUE,FALSE,TRUE,TRUE,frankeidson-com.mail.protection.outlook.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Automobile Accident Attorneys,"Astatula,FL",40,"Law Offices of Scott M. Miller, PLLC","Automobile Accident Attorneys, Accident & Property Damage Attorneys, Civil Litigation & Trial Law Attorneys",https://www.yellowpages.com/longwood-fl/mip/law-offices-of-scott-m-miller-pllc-479322229,"1920 Boothe Cir Ste 100, Longwood, FL 32750",(407) 869-9996,jeannette@scottmillerlawoffice.com,https://www.scottmillerlawgroup.com,5,1,1996,,,,,jeannette@scottmillerlawoffice.com,jeannette,Jeannette,scottmillerlawoffice.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,alt1.aspmx.l.google.com; alt2.aspmx.l.google.com; aspmx.l.google.com; aspmx2.googlemail.com; aspmx3.googlemail.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Automobile Accident Attorneys,"Astatula,FL",41,"Law Offices of Charles Franklin, P.A.","Automobile Accident Attorneys, Attorneys, Paralegals",https://www.yellowpages.com/orlando-fl/mip/law-offices-of-charles-franklin-p-a-496138028,"133 W Robinson St, Orlando, FL 32801",(407) 454-1483,charlesfranklinpa@gmail.com,,5,1,2008,,,,,charlesfranklinpa@gmail.com,charlesfranklinpa,Charlesfranklinpa,gmail.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,alt4.gmail-smtp-in.l.google.com; alt1.gmail-smtp-in.l.google.com; alt2.gmail-smtp-in.l.google.com; alt3.gmail-smtp-in.l.google.com; gmail-smtp-in.l.google.com,TRUE,FALSE,FALSE,TRUE,FALSE,
