Search keyword,Search location,Serial,Name,Category,Profile URL,Address,Phone,Email,Website,Rating,Reviews,Year from Business,Email (Website),Phone (Website),Facebook (Web),Twitter (Web),Instagram (Web)
Personal Injury Law,NY,1,Finkelstein & Partners,Personal Injury Law Attorneys,https://www.yellowpages.com/nationwide/mip/finkelstein-partners-1022719?lid=1002108896923,,(845) 762-3085,mcaputo@lawampm.com,http://www.lawampm.com,,,1962,cis@lawampm.com,18774872897; 1-800-529-2676; 1-877-483-9889;,https://www.facebook.com/finkelsteinandpartners,https://twitter.com/finkelsteinlaw,https://www.instagram.com/finkelstein_and_partners
Personal Injury Law,NY,2,Diederich Law Office,"Personal Injury Law Attorneys, Employee Benefits & Worker Compensation Attorneys, Labor & Employment Law Attorneys",https://www.yellowpages.com/stony-point-ny/mip/diederich-law-office-12330186?lid=1002162871384,"361 Route 210, Stony Point, NY 10980",(845) 608-8207,help@diederichlaw.com,http://diederichlaw.com,,,1992,,845-942-0795;,https://www.facebook.com/diederich-michael-347825892227341,,
Personal Injury Law,NY,3,Law Office of William Nikas,"Personal Injury Law Attorneys, Transportation Law Attorneys, Medical Law Attorneys",https://www.yellowpages.com/hudson-falls-ny/mip/law-office-of-william-nikas-13134219?lid=1002108019502,"116 Oak St, Hudson Falls, NY 12839",(518) 636-1195,nikaslawfirm@gmail.com,http://www.nikaslawfirm.com,,,,nikaslawfirm@gmail.com,5187474169;,https://business.facebook.com/law-office-of-william-nikas-681112128693646,,
Personal Injury Law,NY,4,Couch White LLP,"Personal Injury Law Attorneys, Construction Law Attorneys, Civil Litigation & Trial Law Attorneys",https://www.yellowpages.com/albany-ny/mip/couch-white-llp-22570915?lid=1001978194224,"540 Broadway, Albany, NY 12207",(518) 426-4600,kschaffer@couchwhite.com,http://www.couchwhite.com,,,1970,lperkins@couchwhite.com,+15184264600; +18606767740;,,,
,,,,,,,,,,,,,,,,,
Personal Injury Law,NY,6,Simonson & Cohen,"Personal Injury Law Attorneys, Bankruptcy Law Attorneys, Estate Planning Attorneys",https://www.yellowpages.com/staten-island-ny/mip/simonson-cohen-455576803?lid=1002029121000,"4060 Amboy Rd, Staten Island, NY 10308",(718) 948-2100,jrcohenesq@gmail.com,http://www.simonsoncohen.com,,,1936,,+17189482100;,,,
Personal Injury Law,NY,7,Siben & Siben,"Personal Injury Law Attorneys, Real Estate Attorneys, Bankruptcy Law Attorneys",https://www.yellowpages.com/bay-shore-ny/mip/siben-siben-460611829?lid=1002067284111,"90 E Main St, Bay Shore, NY 11706",(631) 954-1631,info@sibensiben.com,http://www.sibensiben.com,,,1934,info@sibensiben.com,16316653400;,https://www.facebook.com/longislandinjurylawyers,https://twitter.com/sibenandsiben,
,,,,,,,,,,,,,,,,,
Personal Injury Law,NY,9,Law Office Of Richard D Ceresia,"Personal Injury Law Attorneys, Family Law Attorneys, Attorneys",https://www.yellowpages.com/troy-ny/mip/law-office-of-richard-d-ceresia-472858735?lid=1001978410752,"1 State St, Troy, NY 12180",(518) 274-1500,,http://ceresialawfirm.com,,,,,,,,
Personal Injury Law,NY,10,Jaclyn M. Miller Immigration Attorney.,"Personal Injury Law Attorneys, Attorneys, Divorce Assistance",https://www.yellowpages.com/new-city-ny/mip/jaclyn-m-miller-immigration-attorney-473210377?lid=1002122491336,"155 N Main St, New City, NY 10956",(845) 709-8160,jmmillerlaw@cs.com,,,,2002,,,,,
