Search keyword,Search location,Serial,Name,Category,Profile URL,Address,Phone,Email,Website,Rating,Reviews,Year from Business,Email (Website),Phone (Website),Facebook (Web),Twitter (Web),Instagram (Web),email2,username,domain,status,is_safe_to_send,is_valid_syntax,is_disposable,is_role_account,mx_accepts_mail,mx_records,can_connect_smtp,has_inbox_full,is_catch_all,is_deliverable,is_disabled,is_spamtrap
Personal Injury Law,NY,1,Finkelstein & Partners,Personal Injury Law Attorneys,https://www.yellowpages.com/nationwide/mip/finkelstein-partners-1022719?lid=1002108896923,,(845) 762-3085,mcaputo@lawampm.com,http://www.lawampm.com,,,1962,,,,,,mcaputo@lawampm.com,mcaputo,lawampm.com,catch_all,FALSE,TRUE,FALSE,FALSE,TRUE,lawampm-com.mail.protection.outlook.com,TRUE,FALSE,TRUE,TRUE,FALSE,
Personal Injury Law,NY,2,Diederich Law Office,"Personal Injury Law Attorneys, Employee Benefits & Worker Compensation Attorneys, Labor & Employment Law Attorneys",https://www.yellowpages.com/stony-point-ny/mip/diederich-law-office-12330186?lid=1002162871384,"361 Route 210, Stony Point, NY 10980",(845) 608-8207,help@diederichlaw.com,http://diederichlaw.com,,,1992,,,,,,help@diederichlaw.com,help,diederichlaw.com,role_account,TRUE,TRUE,FALSE,TRUE,TRUE,mx001.netsol.xion.oxcs.net; mx002.netsol.xion.oxcs.net,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NY,3,Law Office of William Nikas,"Personal Injury Law Attorneys, Transportation Law Attorneys, Medical Law Attorneys",https://www.yellowpages.com/hudson-falls-ny/mip/law-office-of-william-nikas-13134219?lid=1002108019502,"116 Oak St, Hudson Falls, NY 12839",(518) 636-1195,nikaslawfirm@gmail.com,http://www.nikaslawfirm.com,,,,,,,,,nikaslawfirm@gmail.com,nikaslawfirm,gmail.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,gmail-smtp-in.l.google.com; alt3.gmail-smtp-in.l.google.com; alt1.gmail-smtp-in.l.google.com; alt2.gmail-smtp-in.l.google.com; alt4.gmail-smtp-in.l.google.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NY,4,Couch White LLP,"Personal Injury Law Attorneys, Construction Law Attorneys, Civil Litigation & Trial Law Attorneys",https://www.yellowpages.com/albany-ny/mip/couch-white-llp-22570915?lid=1001978194224,"540 Broadway, Albany, NY 12207",(518) 426-4600,kschaffer@couchwhite.com,http://www.couchwhite.com,,,1970,,,,,,kschaffer@couchwhite.com,kschaffer,couchwhite.com,catch_all,FALSE,TRUE,FALSE,FALSE,TRUE,couchwhite-com.mail.protection.outlook.com,TRUE,FALSE,TRUE,TRUE,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Injury Law,NY,6,Simonson & Cohen,"Personal Injury Law Attorneys, Bankruptcy Law Attorneys, Estate Planning Attorneys",https://www.yellowpages.com/staten-island-ny/mip/simonson-cohen-455576803?lid=1002029121000,"4060 Amboy Rd, Staten Island, NY 10308",(718) 948-2100,jrcohenesq@gmail.com,http://www.simonsoncohen.com,,,1936,,,,,,jrcohenesq@gmail.com,jrcohenesq,gmail.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,alt3.gmail-smtp-in.l.google.com; alt2.gmail-smtp-in.l.google.com; gmail-smtp-in.l.google.com; alt1.gmail-smtp-in.l.google.com; alt4.gmail-smtp-in.l.google.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NY,7,Siben & Siben,"Personal Injury Law Attorneys, Real Estate Attorneys, Bankruptcy Law Attorneys",https://www.yellowpages.com/bay-shore-ny/mip/siben-siben-460611829?lid=1002067284111,"90 E Main St, Bay Shore, NY 11706",(631) 954-1631,info@sibensiben.com,http://www.sibensiben.com,,,1934,,,,,,info@sibensiben.com,info,sibensiben.com,catch_all,FALSE,TRUE,FALSE,TRUE,TRUE,mx2c28.carrierzone.com; mx3c28.carrierzone.com; mx4c28.carrierzone.com; mx1c28.carrierzone.com,TRUE,FALSE,TRUE,TRUE,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Injury Law,NY,9,Law Office Of Richard D Ceresia,"Personal Injury Law Attorneys, Family Law Attorneys, Attorneys",https://www.yellowpages.com/troy-ny/mip/law-office-of-richard-d-ceresia-472858735?lid=1001978410752,"1 State St, Troy, NY 12180",(518) 274-1500,,http://ceresialawfirm.com,,,,,,,,,,,,,,,,,,,,,,,,
Personal Injury Law,NY,10,Jaclyn M. Miller Immigration Attorney.,"Personal Injury Law Attorneys, Attorneys, Divorce Assistance",https://www.yellowpages.com/new-city-ny/mip/jaclyn-m-miller-immigration-attorney-473210377?lid=1002122491336,"155 N Main St, New City, NY 10956",(845) 709-8160,jmmillerlaw@cs.com,,,,2002,,,,,,jmmillerlaw@cs.com,jmmillerlaw,cs.com,unknown,FALSE,TRUE,FALSE,FALSE,TRUE,mx-aol.mail.gm0.yahoodns.net,,,,,,
Personal Injury Law,NY,11,"Levene Gouldin & Thompson, LLP","Personal Injury Law Attorneys, Real Estate Attorneys, Family Law Attorneys",https://www.yellowpages.com/ithaca-ny/mip/levene-gouldin-thompson-llp-473538674?lid=1002069200148,"121 E Buffalo St, Ithaca, NY 14850",(607) 269-8359,khiggins@lgtlegal.com,http://www.lgtlegal.com,,,,,,,,,khiggins@lgtlegal.com,khiggins,lgtlegal.com,catch_all,FALSE,TRUE,FALSE,FALSE,TRUE,d293948b.ess.barracudanetworks.com; d293948a.ess.barracudanetworks.com,TRUE,FALSE,TRUE,TRUE,FALSE,
Personal Injury Law,NY,12,Galbato Law Firm,"Personal Injury Law Attorneys, Family Law Attorneys, Labor & Employment Law Attorneys",https://www.yellowpages.com/auburn-ny/mip/galbato-law-firm-481137262?lid=1001977921652,"71 Genesee St, Auburn, NY 13021",(315) 252-1234,rgalbato@galbatolaw.com,http://www.galbatolaw.com,5,2,2013,,,,,,rgalbato@galbatolaw.com,rgalbato,galbatolaw.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,remote.galbatolaw.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NY,13,Law Office of Craig Touma,"Personal Injury Law Attorneys, Automobile Accident Attorneys, Accident & Property Damage Attorneys",https://www.yellowpages.com/niagara-falls-ny/mip/law-office-of-craig-touma-482521613?lid=1002102412490,"800 Main St Ste 4C, Niagara Falls, NY 14301",(716) 501-8949,info@craigtoumalaw.com,https://www.craigtoumalaw.com,3,1,1985,,,,,,info@craigtoumalaw.com,info,craigtoumalaw.com,role_account,TRUE,TRUE,FALSE,TRUE,TRUE,mx.myregisteredsite.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NY,14,Barton & Smith Law Offices,"Personal Injury Law Attorneys, Attorneys, Family Law Attorneys",https://www.yellowpages.com/elmira-ny/mip/barton-smith-law-offices-483726206?lid=1002153369978,"304 E Church St, Elmira, NY 14901",(607) 271-5374,chrisbarton@bartonsmithbarton.com,https://www.bartonlawny.com,1,1,1991,,,,,,chrisbarton@bartonsmithbarton.com,chrisbarton,bartonsmithbarton.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,bartonsmithbarton-com.mail.protection.outlook.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NY,15,Siben & Siben LLP,"Personal Injury Law Attorneys, Attorneys, Criminal Law Attorneys",https://www.yellowpages.com/bay-shore-ny/mip/siben-siben-llp-483733002?lid=1000364403206,"90 E Main St, Bay Shore, NY 11706",(631) 237-2073,,http://www.citysearch.com/profile/629889800/bay_shore_ny/de_noto_michael_siben_siben.html,,,1934,,,,,,,,,,,,,,,,,,,,,
Personal Injury Law,NY,16,Couch White,"Personal Injury Law Attorneys, Business Law Attorneys, Attorneys",https://www.yellowpages.com/saratoga-springs-ny/mip/couch-white-500364702?lid=1001978411987,"38 High Rock Ave, Saratoga Springs, NY 12866",(518) 426-4600,kschaffer@couchwhite.com,http://www.couchwhite.com,,,1970,,,,,,kschaffer@couchwhite.com,kschaffer,couchwhite.com,catch_all,FALSE,TRUE,FALSE,FALSE,TRUE,couchwhite-com.mail.protection.outlook.com,TRUE,FALSE,TRUE,TRUE,FALSE,
Personal Injury Law,NY,17,Finkelstein & Associates PLLC,"Personal Injury Law Attorneys, Wrongful Death Attorneys, Attorneys",https://www.yellowpages.com/newburgh-ny/mip/finkelstein-associates-pllc-502927260?lid=1002152924116,"1229 Route 300, Newburgh, NY 12550",(845) 561-3465,jfinkelstein@thefinkelsteinlawfirm.com,http://www.finkelsteinlawyers.com,,,1990,,,,,,jfinkelstein@thefinkelsteinlawfirm.com,jfinkelstein,thefinkelsteinlawfirm.com,unknown,FALSE,TRUE,FALSE,FALSE,TRUE,mail.thefinkelsteinlawfirm.com,,,,,,
